Food,Restaurant,Cost,Calories,Fat (g),Saturated (g),Polyunsaturated (g),Monounsaturated (g),Trans (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron(%)
Morning Tea,Home,0.60,120,4,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0
Nutella,Home,0.20,100,6,2,0,0,0,0,7.5,0,10.5,0.5,1,0,0,0,2,2
Oatmeal with 2% Milk,Home,3.50,250,3,0,1,1,1,0,0,140,25,4,1,5,0,0,0,10
Okra,Home,0.50,15,0,0,0,0,0,0,10,0,3,1,1,0.5,1,2,3,0
Orange Juice,Home,0.60,140,0,0,0,0,0,0,20,560,33,0,28,2,0,100,2,0
Pad Ped,Pho Cafe,9.00,133,7,4,0,0,0,0,1297,0,22,0,0,3,0,0,0,0
Pad Thai with Tofu,Pho Cafe,8.71,387,17,0,0,4,0,0,1423,0,44,0,0,13.5,0,0,0,0
Pancakes,Perkin's Restaurant and Bakery,3.50,162,2,0,2,1,0,0,55,213,27,6,19,11,5,26,14,3
Pao Bhaji,Home,10.32,240,13.5,3,0,0,0,7.5,960,0,27,4.5,0,4.5,6,30,6,8.4
Peaches,Home,1.00,80,0,0,0,0,0,0,5,90,19,1,18,1,4,45,0,2
Peanut Butter Chocolate Protein Bar,Home,0.60,190,12,3.5,1,7,0,0,170,0,14,5,6,10,0,2,2,8
Peanut M&Ms,Home,0.80,125,6.5,2.5,0,0,0,2.5,12.5,0,15,1,12.5,2.5,0,0,2,1
Penne Rosa,Noodles and Company,8.53,590,30,0,0,0,0,50,670,0,55,0,0,29,0,0,0,0
Pesto Cavatappi Regular w/ Grilled Chicken,Noodles and Company,11.50,910,34.5,14.5,0,0,0,120,970,0,102,6,10,49,0,0,0,0
Plain Bagel with Blueberry,Einsteins,2.19,260,10,6,0,0,0,25,330,0,40,1,12,7,4,0,2,10
Raisin Brand Cereal,Kellogg's,1.50,190,1,0,0,0,0,0,210,390,46,7,18,5,10,0,2,25
Red Curry,Basil Thai,9.00,340,45,0,0,0,0,60,140,0,7,1,3,29,0,0,0,0
Salad,Home,1.00,15,0,0,0,0,0,0,10,0,3,1,2,1,25,8,2,2
Sesame Candy,Home,3.00,55,2.5,0.5,0,0,0,0,0,0,45,0.5,3,1,2,0,0,2.5
Shaken Iced Tea,Starbuccks,2.57,60,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0
Spiced Chicken,Home,1.00,290,10,0,0,0,0,0,0,0,5,0,0,23,0,0,0,0
Spiced Yogurt,Home,0.80,32,0.3,0.2,0,0,0,1,271,75,6.8,0.2,6.2,1,1.9,6,3.7,2.2
Starbucks Mocha (bottle),Starbucks,0.00,180,3,2,0,0,0,15,95,0,33,0,31,6,0,0,20,0
Starbucks Mocha Frap (Grande),Starbucks,4.52,400,15,9,0,0,0,50,0,64,1,60,5,10,10,0,15,6
Stir Fry,Home,2.50,210,1,0,0,0,0,0,20,0,46,0,0,4,0,0,0,2
Strawberries,Home,0.82,49,0.5,0,0.2,0.1,0,0,1.5,232.6,11.7,3,7.4,1,0.4,149,2.4,3.5
Sushi: Carrot Mango Tofu,Ko Fusion,9.90,363,5.1,1.1,0,0,0,0,0,0,56.4,7.3,4.9,9.8,0,0,0,0
Vanilla Ice Cream,Mary Ann's,3.00,65,3.5,2,0,0,0,10,17.5,0,7,0,7,1.5,2,0,4,0
Vegetable Bowl,Chipotle,8.57,445,10,0,0,0,0,0,1175,0,79,20.5,9.5,15,52,72,10,23
Vegetable Fried Rice,Pho Cafe,9.72,474,9,1,0,0,0,0,196,0,75,0,0,13,57,11,13,26
Vegetable Omelette,LePeep,10.47,440,16,0,0,0,0,12,12,0,10,0,0,15,0,0,0,0
Vegetable Thali,Sitara Restaurant,7.98,500,25,0,0,0,0,0,25,10,110,15,8,22,0,0,0,0
Vegetable Vendaloo,Bombay Indian Grill,10.92,362,2,0,2,0,0,30,132,0,29,0,0,8,5,7,0,3
Veggie Burger,Jurassic Grill,6.32,432,6,6,0,0,0,0,1114,0,70,0,0,0,0,0,0,0
Veggie Burrito,Maize Mexican Grill,6.95,338,5.5,1.5,2.8,1.5,0,0,727.5,445,57.5,14,4,13,31,41.5,10,30
Veggie Lover's Pizza,Pizza Hut,12.42,640,30,10,0,0,0,40,1380,0,72,4,8,24,0,0,0,0
Veggie Taco,Maize Mexican Grill,4.00,306,10,2,1,2,0,1085,780,33,9,5,22,18.6,66,15.4,15,22
Whachamacallit,ISR,1.50,230,12,9,0,0,0,5,140,0,28,1,21,3,0,0,4,0
Yellow Curry (Tofu & Vegetables),Bangkok Thai,6.57,420,30,20,5,3,0,0,1120,0,25,7,4.2,21,108,60,11,13
Chai Latte,Espresso Royale,2.75,180,9.5,6,0,0,0,38.5,136,0,13.5,0,13,9.5,7,0,2,0
Spicy Fried Rice,Siam Terrace,10.00,329,10,2,4,0,0,68,648,179,55,1,1,11,9,2,6,18
Chicken Subway,Subway,7.00,330,4,2,0,0,0,45,730,0,39,3,8,27,20,35,30,15
Chicken Wich Which,Which wich,6.50,140,4,0,0,0,0,0,1519,0,1,0,0,26,0,0,0,0
Black Bean Wich,Which wich,6.50,170,5,1,0,0,0,0,469,0,18,6,2,14,0,0,0,0
Jurrasic Chicken Burger,Jurassic Grill,5.50,432,15,0,0,0,0,0,1024,0,51,1,8,26,0,0,0,0
Hummas with Chicken,Mashawi ,7.50,312,16,0,0,0,0,0,72,0,30,0,0,46,0,0,0,0
Quesadilla,Burrito King,7.00,510,11,5,0,0,0,75,400,25,36,5,5,20,6,2,30,8
Fish and Tofu in spicy sauce,Cravings,9.50,160,4,0,0,0,0,0,0,0,26,0,26,5,0,0,24,0
Choco Lava Cake,Dominos,6.00,200,16,2,0,0,0,0,35,0,22,2,0,3,0,10,2,4
Paneer Tikka,Bombay Indian Grill,10.00,230,17,7,0,0,0,15,410,0,9,4,0,11,6,0,12,6
Pesto Cavatapi,Noodles and Company,6.50,800,32,14,0,0,0,65,600,0,102,6,10,26,0,0,0,0
Chicken Azzip Pizza,Azzipizza,7.00,1074,57,19,0,0,0,72,2224,0,102,6,10,42,16,60,54,33
Chicken Teriyaki,Sushi Ichiban,7.32,260,10,0,0,0,0,20,790,0,37,2,17,9,0,0,4,2
Chicken Masala,Sitara Restaurant,10.20,360,14,3,0,0,0,50,580,0,25,0,12,36,15,10,8,35
Magnum Chocolate bar,County Market,3.00,310,20,14,0,0,0,20,40,0,31,2,26,3,2,0,8,15
Ice cream Sandwich,County Market,2.50,15,0,0,0,0,0,0,15,0,2,1,1,1,10,15,8,6
Java Chip,Starbucks,5.00,395,5,1,0,0,0,0,118,1132,92,11,58,7,0,133,10,2
